,moviename,year,description,genre,movielength,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
224,Rebecca,1940,,,,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",,,,,,225
225,Rocky,1976,,,,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",,,,,,226
226,The Red Shoes,1948,,,,"Michael Powell (dir.), Anton Walbrook, Marius Goring",,,,,,227
227,Ah-ga-ssi,2016,,,,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",,,,,,228
228,"Monsters, Inc.",2001,,,,"Pete Docter (dir.), Billy Crystal, John Goodman",,,,,,229
229,Marriage Story,2019,,,,"Noah Baumbach (dir.), Adam Driver, Scarlett Johansson",,,,,,230
230,Ace in the Hole,1951,,,,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",,,,,,231
231,La haine,1995,,,,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",,,,,,232
232,It Happened One Night,1934,,,,"Frank Capra (dir.), Clark Gable, Claudette Colbert",,,,,,233
233,White Heat,1949,,,,"Raoul Walsh (dir.), James Cagney, Virginia Mayo",,,,,,234
234,The Princess Bride,1987,,,,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",,,,,,235
235,Lagaan: Once Upon a Time in India,2001,,,,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",,,,,,236
236,Gangs of Wasseypur,2012,,,,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",,,,,,237
237,Before Sunset,2004,,,,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",,,,,,238
238,Faa yeung nin wa,2000,,,,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",,,,,,239
239,The Help,2011,,,,"Tate Taylor (dir.), Emma Stone, Viola Davis",,,,,,240
240,The Terminator,1984,,,,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",,,,,,241
241,Butch Cassidy and the Sundance Kid,1969,,,,"George Roy Hill (dir.), Paul Newman, Robert Redford",,,,,,242
242,"Paris, Texas",1984,,,,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",,,,,,243
243,PK,2014,,,,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",,,,,,244
244,Akira,1988,,,,"Katsuhiro Ôtomo (dir.), Mitsuo Iwata, Nozomu Sasaki",,,,,,245
245,Contratiempo,2016,,,,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",,,,,,246
